Model Name: acacia_button | Name: Acacia Button | Opaque: No
Model Name: acacia_door | Name: Acacia Door | Opaque: No
Model Name: acacia_fence | Name: Acacia Fence | Opaque: Yes
Model Name: acacia_fence_gate | Name: Acacia Fence Gate | Opaque: Yes
Model Name: acacia_hanging_sign | Name: Acacia Hanging Sign | Opaque: No
Model Name: acacia_leaves | Name: Acacia Leaves | Opaque: No
Model Name: acacia_log | Name: Acacia Log | Opaque: Yes
Model Name: acacia_planks | Name: Acacia Planks | Opaque: Yes
Model Name: acacia_pressure_plate | Name: Acacia Pressure Plate | Opaque: No
Model Name: acacia_sapling | Name: Acacia Sapling | Opaque: No
Model Name: acacia_shelf | Name: Acacia Shelf | Opaque: Yes
Model Name: acacia_sign | Name: Acacia Sign | Opaque: No
Model Name: acacia_slab | Name: Acacia Slab | Opaque: Yes
Model Name: acacia_stairs | Name: Acacia Stairs | Opaque: Yes
Model Name: acacia_trapdoor | Name: Acacia Trapdoor | Opaque: No
Model Name: acacia_wall_hanging_sign | Name: Acacia Wall Hanging Sign | Opaque: No
Model Name: acacia_wall_sign | Name: Acacia Wall Sign | Opaque: No
Model Name: acacia_wood | Name: Acacia Wood | Opaque: Yes
Model Name: activator_rail | Name: Activator Rail | Opaque: No
Model Name: air | Name: Air | Opaque: No
Model Name: allium | Name: Allium | Opaque: No
Model Name: amethyst_block | Name: Block of Amethyst | Opaque: Yes
Model Name: amethyst_cluster | Name: Amethyst Cluster | Opaque: No
Model Name: ancient_debris | Name: Ancient Debris | Opaque: Yes
Model Name: andesite | Name: Andesite | Opaque: Yes
Model Name: andesite_slab | Name: Andesite Slab | Opaque: Yes
Model Name: andesite_stairs | Name: Andesite Stairs | Opaque: Yes
Model Name: andesite_wall | Name: Andesite Wall | Opaque: Yes
Model Name: anvil | Name: Anvil | Opaque: Yes
Model Name: attached_melon_stem | Name: Attached Melon Stem | Opaque: Yes
Model Name: attached_pumpkin_stem | Name: Attached Pumpkin Stem | Opaque: Yes
Model Name: azalea | Name: Azalea | Opaque: No
Model Name: azalea_leaves | Name: Azalea Leaves | Opaque: No
Model Name: azure_bluet | Name: Azure Bluet | Opaque: No
Model Name: bamboo | Name: Bamboo | Opaque: No
Model Name: bamboo_block | Name: Block of Bamboo | Opaque: Yes
Model Name: bamboo_button | Name: Bamboo Button | Opaque: No
Model Name: bamboo_door | Name: Bamboo Door | Opaque: No
Model Name: bamboo_fence | Name: Bamboo Fence | Opaque: Yes
Model Name: bamboo_fence_gate | Name: Bamboo Fence Gate | Opaque: Yes
Model Name: bamboo_hanging_sign | Name: Bamboo Hanging Sign | Opaque: No
Model Name: bamboo_mosaic | Name: Bamboo Mosaic | Opaque: Yes
Model Name: bamboo_mosaic_slab | Name: Bamboo Mosaic Slab | Opaque: Yes
Model Name: bamboo_mosaic_stairs | Name: Bamboo Mosaic Stairs | Opaque: Yes
Model Name: bamboo_planks | Name: Bamboo Planks | Opaque: Yes
Model Name: bamboo_pressure_plate | Name: Bamboo Pressure Plate | Opaque: No
Model Name: bamboo_sapling | Name: Bamboo Shoot | Opaque: No
Model Name: bamboo_shelf | Name: Bamboo Shelf | Opaque: Yes
Model Name: bamboo_sign | Name: Bamboo Sign | Opaque: No
Model Name: bamboo_slab | Name: Bamboo Slab | Opaque: Yes
Model Name: bamboo_stairs | Name: Bamboo Stairs | Opaque: Yes
Model Name: bamboo_trapdoor | Name: Bamboo Trapdoor | Opaque: No
Model Name: bamboo_wall_hanging_sign | Name: Bamboo Wall Hanging Sign | Opaque: No
Model Name: bamboo_wall_sign | Name: Bamboo Wall Sign | Opaque: No
Model Name: barrel | Name: Barrel | Opaque: Yes
Model Name: barrier | Name: Barrier | Opaque: No
Model Name: basalt | Name: Basalt | Opaque: Yes
Model Name: beacon | Name: Beacon | Opaque: No
