name,src_file,src_line,total_ns,total_perc,counts,mean_ns,min_ns,max_ns,std_ns
ResortTranslucent,/Users/obey/Desktop/MyVoxelGame/src/client/renderer/mesh/ChunkRenderer.cpp,767,511150262,0.142293,116346,4393,17,125904,7131.009343
Explode.Apply,/Users/obey/Desktop/MyVoxelGame/src/common/world/level/Explosion.cpp,1079,214559914,0.059729,4915,43654,1541,214997,8499888.743441
BlockTicks,/Users/obey/Desktop/MyVoxelGame/src/common/world/level/World.cpp,894,9112819,0.002537,2354,3871,42,82554,8058.637411
SubmitMultiDraw,/Users/obey/Desktop/MyVoxelGame/src/client/renderer/mesh/ChunkRenderer.cpp,967,43658458245,12.153539,337919,129197,17,18199728,414541.727898
GuiCollect,/Users/obey/Desktop/MyVoxelGame/src/client/renderer/gui/GuiRenderer.cpp,225,85960259,0.023929,128772,667,41,28726,924.410817
CreateRegion,/Users/obey/Desktop/MyVoxelGame/src/client/renderer/mesh/RenderRegionCache.cpp,57,229778372,0.063965,9019,25477,83,1304339,29246.867502
Gen.Biomes,/Users/obey/Desktop/MyVoxelGame/src/my_terrain_library/include/world/chunk/status/ChunkStatusTasks.h,202,2832316825,0.788454,1603,1766885,787499,43515320,24232606.697888
Render,/Users/obey/Desktop/MyVoxelGame/src/platform/PlatformMain.cpp,3374,22996665069,6.401758,125699,182950,3959,36722603,2846497.955247
ItemEntityTick,/Users/obey/Desktop/MyVoxelGame/src/server/IntegratedServer.cpp,1208,1046722825,0.291384,2355,444468,41,2768624,527225.202268
FinalizeUpload,/Users/obey/Desktop/MyVoxelGame/src/client/renderer/mesh/ClientMeshManager.cpp,367,416301,0.000116,6009,69,17,4042,167.289384
SessionTick,/Users/obey/Desktop/MyVoxelGame/src/server/session/PlayerSession.cpp,223,8025555,0.002234,2355,3407,976,35018,2134.651440
ResolveExplosions.Jitter,/Users/obey/Desktop/MyVoxelGame/src/server/entity/ServerLevelBridge.cpp,392,14847798,0.004133,1284,11563,2041,70678,8225.113784
FillBlockCacheFromRegion,/Users/obey/Desktop/MyVoxelGame/src/client/renderer/mesh/Mesher.cpp,459,513367186,0.142910,9019,56920,28685,950129,24889.122019
MobSystemTick,/Users/obey/Desktop/MyVoxelGame/src/server/IntegratedServer.cpp,1598,3694657799,1.028510,2354,1569523,1082,36811909,145938778.408475
AllocateSlab,/Users/obey/Desktop/MyVoxelGame/src/client/renderer/mesh/ChunkMegaBuffer.cpp,69,587608,0.000164,68,8641,2500,15083,2206.308384
ResolveExplosions,/Users/obey/Desktop/MyVoxelGame/src/server/entity/ServerLevelBridge.cpp,375,2190582,0.000610,1284,1706,207,13292,32069123.748871
ChunkResult.MarkReady,/Users/obey/Desktop/MyVoxelGame/src/server/IntegratedServer.cpp,2904,741228,0.000206,1092,678,41,6518,650.949148
RandomTick,/Users/obey/Desktop/MyVoxelGame/src/common/world/level/World.cpp,942,2062556792,0.574170,2355,875820,111820,2839759,464061.642443
EntityTracker,/Users/obey/Desktop/MyVoxelGame/src/server/entity/ServerEntityTracker.cpp,114,26101581137,7.266097,2331,11197589,41,69020184,12150314.955366
GetChunk,/Users/obey/Desktop/MyVoxelGame/src/server/world/ChunkProvider.cpp,272,396295652,0.110320,2211290,179,17,793831,7132161.165468
TitleFrame,/Users/obey/Desktop/MyVoxelGame/src/platform/PlatformMain.cpp,811,2298648079,0.639892,3073,748014,158023,12419906,950706.958468
Render.XpOrbs,/Users/obey/Desktop/MyVoxelGame/src/platform/PlatformMain.cpp,3584,7642066,0.002127,51883,147,17,31393,403.850647
ProcessChunkData,/Users/obey/Desktop/MyVoxelGame/src/client/world/ClientChunkManager.cpp,437,110845,0.000031,1131,98,0,6183,203140.288152
LoadFromDisk,/Users/obey/Desktop/MyVoxelGame/src/server/world/ChunkProvider.cpp,1121,34212524,0.009524,1093,31301,3917,1795203,79871.811116
WriteBuffers,/Users/obey/Desktop/MyVoxelGame/src/client/renderer/mesh/ClientMeshManager.cpp,363,316167,0.000088,9019,35,0,4124,944771.604548
ProcessMeshResult,/Users/obey/Desktop/MyVoxelGame/src/client/renderer/mesh/ClientMeshManager.cpp,339,898601,0.000250,9019,99,0,52060,944802.717214
Gen.Noise,/Users/obey/Desktop/MyVoxelGame/src/my_terrain_library/include/world/chunk/status/ChunkStatusTasks.h,256,29872498106,8.315836,1417,21081508,8693594,118744488,10114914.355004
